portrait,space_sw
tb.1.359b94d2.NYj8oetT7wDbLXe8dYP9ZA,秘密 戴着 面具 生活 工作效率 低下 远道而来 专家 吃饭 心里 一万个 不想 需要 经历 来源 需要 接触 觉得 失去 工作 情况 更加 恶化 翻到 症状 抓起 身边 东西 拳头 觉得 咱俩 出血 暗暗
tb.1.368f3a45.yAmfgD7Hmt66coP66t-RwA,离开 怕不怕 孩子 重复 悲剧 担心 重蹈 复辙 抑郁 离开 抑郁 没想 以后 生活 当初 怀着 心情 生下 抑郁症 从小 家庭 孩子 完整 生下 受罪
tb.1.3749ccc6.NX_gBA9YFKEiKjShlJv9lA,药物 治疗 加重 破坏 人体 机能 神经系统 意识 本源 心理疾病 精神疾病 肉体上 意识 疾病 运用 物理 治疗 方式 很快 痊愈
tb.1.380959ee.FFxCEcVfQ90_4o1eLnObvA,建议 学习 冥想
tb.1.38d5acf4.VXTZdtwZUKbIuUpvKSWsYQ,症状 症状 真实感 心慌 改掉 坏习惯
tb.1.395dfdab.-el5OqGYdXIVsND-SsMfVg,住院 接受 治疗 加油 七八岁 加油
tb.1.396c55d6.e62w-mzp_W5wEqMDTtZPmA,咱俩 情况 六月份 回去 开学 三天 习惯 学校 感觉 压抑
tb.1.3a620113.by3VIsCLK7N66a3yqAGmNw,明白 看着 心里 难受 看到 主页 感觉 热爱 工作 感觉 或许 情况 清楚 症状 后天 压力 世上 凡人 没个 压力 压力 化解 压力 做生意 失败 欠债 一百多万 呵呵 认为 我俩 压力
tb.1.3a99277d.fEpu2YiazAlhDuqWrWXgFQ,高三 那年 抑郁 五年 郁郁寡欢 可幸 结婚 老公 不想 伤害 兴趣 每天 逼迫 无味 四五年 啥时候 时好时坏
tb.1.3aacc092.xHc7Cm6nxOJSyx0LRo9-0A,走出 抑郁症 痊愈
tb.1.3b669eef.Ix9YbIn7Nb6OkQQ2w07e2A,倾诉 生活 打成 背后 喊醒 声音
tb.1.3bab6747.vMDt-XVf7S2WZXfJK1Me7A,不在乎 处女 中国 封建 国服 抑郁症 抑郁症
tb.1.3bc86578.KyeOGG4c6whOer5tf1FkgA,加油 出于 喜欢 喜欢 抱歉
tb.1.3c214c1a.YRR--wvhCv96Cp9rBQFr8Q,今天上午 看到 一篇 文章 抑郁症 生活 压力 自杀 千万别 想不开 犯了罪 得罪 神对 标准 耶稣 看见 妇女 动淫念 奸淫 而神 绝对 公义 圣洁 最终 审判 罪人 罪人 送到 地狱 承担 永远 痛苦 得救 享受 以神 为乐 天堂 永恒 幸福 主耶稣 这位 由圣 灵感 处女 罪人 钉死 十字架 承担 罪人 刑罚 三天 复活 耶稣 所受 刑罚 人得 平安 一切都是 白白的 耶稣 白白 罪人 牺牲生命 福音 相信 福音 信靠 主耶稣 狮子 活着
tb.1.3c9ca79e.gjcK4Gr5CzfUpcA4Oxe58A,倾诉 淘宝 匕首 再见 梦魇 折磨 结婚 期间 儿子 一起 小产 出租屋 休息 人生 生活 手里 服从 命运 大家 舒服
tb.1.3d3b474f.kV4BJ2IFbINsoTIjScEHSQ,真坏 言语 刺激
tb.1.3e4107c4.Y2xtPv56TpaP4DukZnAApw,一起 报复 毁容 痛苦 微信 医生 毁容
tb.1.3e7120d6.80zI7BIq_TBznXVWM26vwg,越住 抑郁 纸醉金迷 包治 倾诉 表面 阳光 帅气 睿智 父亲 去世 感觉 提不起 兴趣 仿佛 行尸走肉 一切都是 意义 努力 徒劳 执着 荒谬 一切都是 徒劳 智慧 一时 机体 大脑 衰老 呈现 固化 退化 父亲 记忆 子欲养 而亲 说不定 家里人 剥离 剩下 真实 本源 野心 欲望 太强 现实 骨感 不得志 觉得 努力 挣扎 徒劳无益 郁郁寡欢 认为 能力 时运不济 平台 聪明 努力 郁郁 不得志 眼光 太超前 学识 旁门左道 知识 涉猎 审时度势 委曲求全 具备 出人头地 具备 多样 能力 泯然 众人 一针见血 小学 就读 五千年 国内 国外 围棋 凭感觉 专门 学过 同学 战个 人工智能 社交 天才 一大 特性 多重人格 一个打 武艺 卖于 帝王 目标 定位 对方 收购 狠劲 眼光 谬赞 谬赞
tb.1.3e9883f6.k4pJQCKwBJ0AH9eE36ZTiA,特别 理解 喜欢 女孩子 抑郁症 办法 治疗 陪伴 身边 希望 幸运儿 游泳 淘汰
tb.1.3f205bb8.qFF_vZwZcBXj7Lg6t5RncQ,哪家 医院 去过 医院 中度 抑郁 检查费 拿药 一千 医院 过药 办法 正常 工作 痊愈 为啥 医院 检查费 医院 青羊区 康定 医院
tb.1.3fbe0ae.9MjCWOXdUaZwg5ps77urYA,加个 联系方式 不怕死 生活 毫无 乐趣
tb.1.403cd79b.KxxaGkriTX6osg1f8mhwFQ,地方 不用 吃药 治疗 抑郁症
tb.1.40a9c3dd.J6iY381bky4IOG6UuhkEfw,父母 记事 经常 吵架 父亲 家暴 安排 工作 教育 感谢 离婚 婚姻 发现 有时候 变成 弱势 有时候 变成 父亲 施暴者 父母 离婚 结婚 渴望 家庭婚姻 生活 异常 敏感 害怕 婚姻 发现 过不去 控制 想要 流泪 过来 熬过 伤痛 感到 绝望 感觉 心里 巨大 伤口 每次 痊愈 突然 发现 原来 痛苦 控制 绝望 控制 想到 多久 更加 绝望 越来越 害怕 接触 越来越 感到 疲惫 可不可以 帮帮我 父母 记事 经常 吵架 父亲 家暴 安排 工作 教育 感谢 离婚 父母 离婚 结婚 渴望 家庭婚姻 生活 异常 敏感 害怕 婚姻 发现 过不去 控制 想要 流泪 过来 熬过 伤痛 感到 绝望 感觉 心里 巨大 伤口 每次 痊愈 突然 发现 原来 痛苦 控制 绝望 越来越 害怕 接触 同样 感受 可不可以 帮帮我
tb.1.40be78cd.i6BXJqoQ1pKKu5E_bN5F-w,我家 突发性 死忙 早上 出门 特别 健康 开心 地方 突然 倒地 医院 医生 安静 双腿 无力 闭眼 眼神 有神 无神 不想 离开 世界 两岁 每天 沉醉在 离世 那天 不可自拔 特别 痛苦 在家 空气 呼喊 名字 骨灰 活着 照片 正常 生活 想念
tb.1.41301e02.NnKqQcp1mNoL3b7JsAII1g,手术 后伤 喉返 神经 情况 正常 说话
tb.1.4152fd9.zUBk5oyGusLJpBCFyA8N3w,倾诉 离婚 不久 总是 想不开 心里 难受 眼睛 一闭 想着 明明 放不开 真不知道 能撑 多久
tb.1.4198b2e6.6Otjgj8D-uD7EezolDVnPg,十几个 加油 记得 吃药 温水 药效 影响 貌似 办法 睡觉 差不多 状态 准备 复诊 医生 没关系
tb.1.419fc31e.IN629fPUpcpWLQ5mmVJGWA,加油 没法 正常 工作 工作 穷人 世界 严重 浑身发抖 广州 京溪 南方 医院 南方 京溪 南方 医院
tb.1.4248a8e1.P_LDc8OAj7H2W1YElGb1-A,刚换 换成 曲舍林 害怕
tb.1.42b8d1f6.4gInKr-_JUY6wq3NXHM7EA,交朋友 难交 幸色 居室 拜托 幸和欧 尼桑 幸福 两集 哥哥 温暖 温柔 没关系 碍事 幸比 辛苦 好多 痛苦 好多 遇到 哥哥 莫大 救赎 软弱 手中 空无一物 握紧 双手 长得帅 温柔 肤浅 哈哈哈 变态 第二次 哥哥 我和幸 瞬间 觉得 活下去 哥哥 双手 温暖 抓紧 救赎 希望 慢慢 哥哥 结婚 幸福 家暴 性侵 校园 暴力 自杀 拯救 带到 布满 照片 居室 哥哥 取名为 给幸 剪头发 好吃 东西 温柔 告诉 幸是 喜欢 轻轻地 抚摸 明白 残忍 无知 生命 幸福 痛苦 记忆 衬托 更加 明显 想要 哥哥 摸摸 或许 等待 绝望 伸出手 我拉出 深渊 紧紧 怀里 责备 傻瓜 紧紧 牵着手 救赎 讨厌 东西 喜欢 幸福 变成 永恒 选择 死去 想起 别人 约定 仪式 意义 努力 努力 不想 始终 推脱 遇到 活着 哥哥 温柔 美好 罪犯 伪善者 幸好 罪犯 选择 选择 哥哥 幸福 尼桑 拯救 哥哥 交给 天平 两端 选择 晚霞 空地 哥哥 举行 婚礼 原来 哥哥 讨厌 原来 喜欢 哥哥 幸有 结束 人生 勇气 对幸 感兴趣 跟踪 哥哥 讨厌 讨厌 幸对 漠不关心 苟活 改变 契约 对方 幸福 活下去 约定 一起 活下去 冷淡 哥哥 活着 需要 理由 失忆 大大 我发 觉得 没什么 问题 随意 麻烦 理由 钻牛角尖 搞清楚 我发 人间 值得 人间 值得 值得 人间 说不过去 日剧 幸色 居室 人人 视频 更新 第七集 温馨 难受 收下 fafa 雨天 糊涂人 伤心 开心 伤心 觉得 好看 缺席 告诉 听懂 意思 理解能力 才女 小雨 天过 窥探 关心 难道 说错 雨天 觉得 雨天 睡不着 难受 抱住 雨天 摸摸头 人人 视频 负面 消极 zisha 不少 严重 大大 不用 弄清原因
tb.1.43b7a67b.oQNh60jmUTANe0PfqtYxJQ,严重 差不多 结束 生命 念头 脑中 浮现 想要 自杀 想法 觉得 所有人 解脱 本来 打算 慢慢 调整 愿意 看病 治疗 刺激 彻底 崩溃 计划 离开 老师 容易 抑郁 重度 抑郁症 出现 幻听 贫血 反正 绝望 只想 自杀 检查 本来 检查报告 医生 报告 不去 彻底 放弃 治疗 吃药 副作用 难受 身体 承受
tb.1.43dd1919.elY5_Kq7peNA0twBYIPrYQ,知音难寻 感觉 get
tb.1.442a421c.knTwt80QOk_krUC2iRO--w,来自 男人 关心 妹子 试着 运动 觉得 乐观
tb.1.4449bb43.3AWvqyml-VbPKy7WTsrK0A,不想 上班 心里 难受 在家 闹心 情绪低落 每天 硬撑 上班 心理 身体 真想 休息 倾诉 伤心 想着 心事 自觉
tb.1.446757ec.AgPQ03Fuk8eNzHU0vNa9bg,梦想 漫画家 孩纸 目标 倾诉 曾经
tb.1.459c2ae7.PJCxr6cLOLiTXRZjdM8aGA,朋友 觉得 重度 抑郁 父亲 去世 生不如死 老家 老中医 教授 多试试 中医
tb.1.460da379.dPU9N50uDUD6Ki9TPNTKDw,抑郁症 患者 严重 投入 怀抱 无神论 现代人 疾病 面前 仿佛 天生 信徒 送给 抑郁症 患者 需要 理解 关心 告诉 心理学 基础 精神 医学 背景 能力 理解 患者 动机 值得称赞 行为 对方 产生 症状 希望 认真 考虑 问题 校园 暴力 关系 创伤 抑郁 发作 拒绝 亲密 理解 两句话 抑郁症 患者 需要 理解 关心 需要 关心 需要 理解 大于 需要 关心 心结 抑郁 发作 症状 消失 问题 没吃过 身体 动等 少数 意识 问题 浏览 描述 体验 多么 痛苦 帖子 竟然 心情 眼里 比较严重 症状 基本上 体验 木僵 分离 真想 情况 相似 朋友 一聊 代表 所有人 强奸 实施 针对 对象 性欲 未成年人 强奸 犯罪 心理 动机 想要 试一试 感觉 作案 目标 女人 都行 强奸犯 心理 逻辑 哥哥 正常 情况 存在 对亲 妹妹 性欲 哥哥 性欲 妹妹 刚好 旁边 家庭 情况 以己度人
tb.1.467cf3cb.ZfpG2sKy_heKn3eQqHSy5A,蝼蚁 偷生 更何况 反正 不用 想不开 生活 美好
tb.1.468916a3.5z52FEhPqASOwU8mbB6F1g,倾诉 好久 过来 克服 大半
tb.1.46faf4be.GsJbH1zQH96SBlDISccJ5Q,起码 走上 注定 无法 生活 捶打 继续 前行 淘宝 运营 感觉 目前 暂时 出现 反差 心里 慢慢 sha 情绪 生活 压力 工作 压力 慢慢 过来 吃饭 责任心 比较 压制 抑郁 心里
tb.1.4773b1e8.Oa5aRCH8nBuWEnQ522QFbA,sympt ms 维生素 提振 情绪 神经衰弱 焦虑 适合 抑郁症 别人 可乐 焦虑 dd 心情 发帖 愿意 洗漱 坐在 电脑前 发呆 焦虑 没装 关注 哈哈哈哈 抑郁 不想 社恐 焦虑 顶多 生活 障碍 高铁 坐到 友面 昵称 usa 颈椎病 只想 舒舒服服 沙发 躺椅 不行 压迫 神经 精神 更差 每天 美国 继续 读书 学校 美国 大一 撑住 休学 回去 这辈子 起码 交朋友 兴趣 醒来 感觉 微信 嫌弃 变社恐 焦虑 美国 主动 起码 别人 邀请 bayl 好多 基督徒 高中 我爸 学校 中国 很少 绿卡 焦虑 打工 前一天 出门 想着 学车 创伤 经历 心理 创伤 有时 嗜盐 有时 嗜甜 心情 阴晴不定 苏州 无锡
tb.1.48db5f.qhl_qXsqdF0nz65-upMyBw,抑郁症 主要 心态 问题 抑郁症 医院 抑郁 查出 抑郁
tb.1.49c6c501.wjyxCScXDmN9R4CUZNhnNw,比较 朦胧 感觉 世界 目光
tb.1.4af62980.tHZl4OgU5beNmjAOLB-lqQ,世界末日 全都 不用 背负 好多 东西 人间 欢乐 觉得 地狱 每天 说话 别人 冷落 很快 删掉 对方 总会 对方 说话 感觉 存在 别人 重要 酒店 隔离 开着 电脑 打开 电视 干嘛
tb.1.4b102447.PqxNsTr4ytAGzvxfWAzXhw,白天 白天 至少
tb.1.4c134c8d.OTTcVzBiT-2EygMqUN0LNA,氟西汀 副作用 阳痿
tb.1.4c971e32.6jFYy7F7EWFETLYbrqsBjw,不想 活着 痛苦
tb.1.4d077a6d.AoIE-mP22rql8WNg0HE_Vw,遗憾 上帝 给予 活着 意义
tb.1.4e160369.U1mhWh8NJaX_s-w0lxa1qw,限制 自由 进出 人去 特定 房间 犯人
tb.1.4e566e78.C-RRaPyXesN2GRVxVG9P1g,癌痛 无法忍受 到时候 癌症 跳楼 太疼 痛苦 熬夜 电脑 不吃不喝 洗个 冷水澡 诱发 心脏 骤停 癌症 死亡 痛苦 医生 实习 见过 难受 中国 安乐死 一说 难受 舒服 死亡 心脏 骤停 猝死 会快 难受 十几分钟 明显 考后 抑郁 考上 以后 开心 地方 觉得 人生 活赖活 抑郁症 千万别 考研 考不上 说不定 生活 希望 考上 觉得 生活 希望 上山 心中 至少 期盼 山上 发现 后面 心情 研究生 本质 工作 只不过 老板 更加 肆无忌惮 压榨 毕业 全看 导师 心情 研究生 退学 不忍心 跳楼 选择 退学 同学
tb.1.4e9b137f.7Qd5SRhqozy5puuh6nf_jA,勇气 活着 何必 深夜 爆发 寂静 灭亡 生活 琐事 不幸 失去 未来 向往 自带 社交 恐惧症 属性
tb.1.4efaee32.-d6klcfuFFeq09WNg1dqUg,原生 家庭 自卑 敏感 不敢 别人 接触 体会 感觉 希望 快乐 分享 开心 乱拉粑 每天 半夜 哄哄 有时候 生气 快乐 源泉 倒霉 过后 好运 明显 交给 警察 叔叔 里面
tb.1.50c94552.VE5zDbNsTyGEjVoopPLfJw,躁郁症 患者 羡慕 不去 无视 父母 小学 抑郁 情绪 初中 爆发 大学 吃药 家里 情况 讳莫如深 没什么 问题 要死 毕业 公约 考公 放松 紫砂 家里 亲人 离世 不敢 家人 对象 受不了 憋着 受不了 愿意 直视 问题 心里 敏感 承受能力 在外 表演性 人格 开朗 大方 开心果 不想 朋友 觉得 虚伪 恶心 可悲 面具 人生 达成 目标 从来 没为 要说 正常 吃饭 算不算 惩罚 开心 家人 全家 神经质 外界 隔绝 稍微 正常 表哥 表弟 自闭 性格 表演 人格 突然 而来 性格 转变 多么 粉身碎骨 希望 继续 写下去 加油 老妹 周围 相关 不用 在乎 亲戚 躲起来 对象 一起 不用 社交 面对 过年 不想 回去 别人 过年 出去玩 努力 对象 努力 感兴趣 希望 慢慢 复发 部分 原因 家人 感情 强势 介入 我谈 六年 六年 六年 caihuial 坚持 父母 同意 姥姥 同意 心血 一不小心 万劫不复 不用 羡慕 感情 遭受 打击 痛苦 甜蜜 好不容易 主要 周围 谈得来 朋友 很少 三观 不正 榨干 情感 闺蜜 家人 放弃 多年 感兴趣 美术学 专业 大学 从事 互联网 行业 退出 城市 欠发达 内陆 首府 工业 为主 公务员 活下去 理由 普通人 真心 喜欢 人生 唯一 坚持 属于 生命 不用 自卑 总会 生命 点燃 出现 觉得 不去 为难 硬逼 徒有其表 内心 早已 麻木 绝望 加油 不用 否定 记得 不久前 多年 初中 同学 吃饭 含沙射影 暗示 高中 休学 传出 初中 高中 霸凌 随意 男朋友 没想 伤害 周围 觉得 重要 别人 话中有话 细小 甚微 情绪 察觉 恶意 放大 社恐 夜里 委屈 痛苦 不已 我待 世界 赤子 要伤 缺乏 收敛 真心 能力 不敢 画笔 全是 家里人 放弃 日日 痛哭 回忆 失去 快乐 感觉 慢慢来 敏感 行为 认知 相差太多 认可 努力 越做越 痛苦 喜欢 工作 勉强 厕所 不想 地步 失眠 嗜睡 暴食 慢慢 加油 关注 一起 加油 社会 经验 出卖 定义 朋友 社会 经验 大三 创业 乖宝宝 重要 面前 朋友 面前 难道 虚伪 希望 不好 暗中 比较 每次 见面 一脸 虚伪 想到 恶心 见人下 菜碟 理解 太过 不好 攀高 虚伪 愿意 不想 不想 交往 交往 必要 舒服 赞同 观点 理解 互相 尊重 觉得 肤浅 不必 各有 爱好 遇到 互不 来往
tb.1.50e0a6a3.7nF9Np2C4jOD_vUJ9WVXyA,倾诉 世界 奇怪 活着 人往 活着 所有人 半死不活 苟延残喘 太累
tb.1.50e544ad.sNCdEDMVB73Zo6LozFu05w,幸福 希望 爷爷奶奶 平平安安 法医 小学 校园 霸凌 选择 沉默 施暴者 更加 猖狂 zwj 父亲 记起 遥远 五六岁 门外 楼道 半小时 冷风 感情 付出 抱歉 造物者 难辞其咎 败笔 幼稚 悲伤 开心 喝酒 初中 小学 算了 村小 不想 所辣 和谐 小学 享受 爷爷奶奶 相处 时光 内向 文静 学前班 坚持 英语 中途 补习班 遭遇 校园 暴力 坚持 社会 阶级 提高 门当户对 女生 一起 结婚 坚持 留在 身边 相信 原来 独立自主 人待 一起 愿意 付出 感情 不求 回报 生活 平平淡淡 爷爷奶奶 不全是 能克服 阅历 不太多 圈子里 了解 曾经 活成 讨厌 以后 报复 或许 释然 数不清 有过 联系 曾经 列表 百分之八十 满意 超级 开心 模糊 目标 后者 愿意 感情 博弈 不肯 多加 筹码 重要 整容 除开 亲情 事业 重要 曾经 除开 父亲 以外 连续 打过 背单词 执着 寝室 室友 搞好关系 迷茫 沉住气 努力 认真 数学 爷爷奶奶 生气 父亲 重新 找份 工作 可惜 流过 时光
tb.1.513d0cc0.0Eq8MOhA-7rPRvET12XUHw,保险 我要 孤单 杭州 太远 山西大同
tb.1.5148a871.f4C5gH1kZ4khf2BUZQQ6Dg,加油 抑郁症 十几年 多次 自杀未遂 一点一点 希望 病好 重点 过度 完美主义 过度 关注 感受 帮助 别人 关心 别人 善事 努力 孝顺父母 这点 重要 父母 关系 不好 容易 抑郁症 适当 佛经 增加 福气 福气 心情 容易 重点 关注 问题 过多 考虑 未来 当下 容易 陷入 焦虑 当下 过好 算一天 利益 别人 越来越 一点一点 加油 希望 愿意 记得 看过 文章 优秀 人才 容易 抑郁症 要求 过高 完美主义 产生 现实 不满 容易 抑郁 接纳 抑郁 原因 需要 接纳 完美 一点一点 改变 看到 一栋 房子 不好 接受 接受 办法 一点一点 改变 工作 兴趣爱好 现有 工作 基础 兴趣 副业 樊登 下班 时间 副业 享受 兴趣 带来 喜悦 接纳 开心 一辈子 一辈子 相随 别别扭扭 一辈子 开开心心 一辈子
tb.1.51840ab8.7QHaqZGX8LHFCYPtuhfUnw,喜欢 忘记 太多太多
tb.1.525cad64.FJR493YM2__jTe1CA3x4uw,养猫 别养 狗要 抑郁 精力 时间 觉得 烦躁 要养 从小 依赖 猫咪 安静 适合 病人 基本 恢复 养狗 羡慕 女儿 妈妈 喜欢 动物 猜错 喜欢 患有 抑郁 微信 抑郁症 康复 自信 正是 目前 学习 交流学习 符号 含义
tb.1.52788d22.mQ2Zg7KA36X98LZt39xfrw,喜欢 盐水 特别 板鸭 小时候 妈妈 一给 板鸭 觉得 心情 美滋滋 看到 两段 感同身受 初中 有次 化学课 脑海中 像是 打架 听不进 感觉 周围 嘲笑 瑟瑟 发抖 拿出 手机 妈妈 发了 短信 妈妈 撑不下去 明白 逆商 东西 觉得 逆商 缺乏 困境 反弹力 建议 尝尝 板鸭 或许 代替 盐水 新欢 南方人 重口
tb.1.538b0aa8.NDR8n3LjX8DLnr8mPbdxWg,想法 医院 跳楼 就近 医院 死亡 证明 直接 火化 家里 社区 证明 全村人 最好 观察 地形 落地 位置 必须 罪过 晚上 人不多 围观 估计 医院 监控 住院 假装 溜达 位置 住院 假装 患者 家属 陪护 重点 影响 降到 最低 悄悄的 医院 直接 通知 家属 火化 街坊邻居 完美 研究 跳楼 便捷 地点 医院 地方 估计 救护车 医院 浪费 医疗 资源 车辆 不好 周五 说服 实施 计划
tb.1.545aa22d.Xd-VPPy6E4grY9w3J_pesA,喜欢 晚上 生日快乐 倾诉 开学 倾诉 开学 第二个 难受 加油 初一 上学
tb.1.566ac2d7.iuBRT_m4G3OMmaeVPogy3w,想过 世界 唯一 放不下 父母 奶奶 控制 总是 偷偷 快乐 记得 月饼
tb.1.56bf6e7c.9IYpGtXzVustEYUrpd9_Ow,小想 工作 烦躁 压抑
tb.1.56daa51b.6yYklVRWkMWCJbGaGGllXA,要强 最好 怕疼 初三 实在 休学 一去 学校 紧张 害怕 本该 条狗 性格 问题 休学 学校 回来 这病 看病
tb.1.577a9e7b.O7Ua3ZtAX-iTqEK7GVB6SQ,中度 缺乏 安全感 重度 东西 光靠 测试 开点
tb.1.57c48858.bSO7zhronXxXqzoKlGD1OA,回复 彭野 YE 看到 抑郁 可怕 声音 回复 彭野 YE 做不了 哑巴 无法 痛苦 哑巴
tb.1.5868ac00.EcDg6oME4v8FtvRKGH-Mew,同感 活着 辛苦
tb.1.596518d3.xYyzDc7koOxKbVYOUBVkXg,抑郁症 女人 超级 花心
tb.1.5b77b030.s7u47dF3-ExfnJbK85kBgg,好奇 没人 毁容
tb.1.5b81df34.MjrxlCbRpMooGZazVE0OFQ,感觉 抑郁症 讨厌 亲人 讨厌 世界 讨厌 抑郁症 医院 不敢 人去 感觉 坚持下去 倾诉 主见 理想 自卑 自负 对方 高兴 小心翼翼 讨厌 亲人 讨厌 世界 讨厌 感觉 坚持 抑郁 害怕 到时候 留下 档案
tb.1.5bbd0588.0hIpR8y1yrb7Lj_IxJ407g,年纪 感觉 快乐 平凡 简单 点点 丫头 每天 同样 事情 反反复复 起床 洗漱 抽烟 软件 出门 早饭 上班 下午 下班 回家 软件 抽烟 偶尔 上班 下班 闭眼 睡觉 失眠 晚上 庆幸 真好 感觉 疲惫 睡个 好觉 每天 大家 看到 开心 大家 觉得 好动 活泼 面前 感觉 很累 很累 来到 地方 交新 朋友 最怕 伤害 别人 没关系 好想你 救救 写写 上班 突然 觉得 胸口 好闷 感觉 眼眶里 踊跃 泪水 那一刻 觉得 快要 死去 感觉 疲惫 睡个 好觉 保护 离开 以后 药店 回家 雨伞 原来 照顾 早点 明天 上班 很累 熬夜 丫头 早上好 值班 准备 晚上 回家 带次 加油 早上 终于 休息 有点累 下班 胃疼 头晕 失眠 很早 眼睛 格外 流眼泪 伤害 想法 永远 折磨 可悲 浅浅的 一刀 停住 看起来 正常 不想 别人 远离 讨厌 我要 活着 总是 接好 开水 放凉 纸条 暗里 拒绝 不想 谈恋爱 保护 记忆力 模糊 眼睛 模糊 想起 感觉 难过 左眼 流泪 一路 走来 丢掉 很多很多 失眠 很烦 想太多 放松 回家 房间 空荡荡 原来 孤单 回家 原来 感觉 失眠 越来越 严重 记得 睡不着 名字 称呼 那一刻 居然 记不清 声音 似乎 很久没 模样 声音 喜欢 容易 忘记 简单 失眠 感觉 记得 感觉 经历 再次 感受 无奈 心疼 感觉 说不出 道不明 眼眶里 雾蒙蒙 想起 贪婪 别人 当初 妳是 吃定 离不开 离不开 狠心 始终 忘记 想起 有时候 放下 一味 地活 深夜 好喝 看吧 胃疼 自作自受 感觉 心好 痛好 抛弃 木偶 可悲 至极 活着 解放 感觉 太累 休息 休息 希望 永远 听懂 好久不见 回来 消失 时间 我拉黑 上班 特别 朋友 终于 保护 想得到 身体 认识 暴露 原型 能量 爆棚 幼稚 霸道 占有欲 太强 黑暗 逃离 一起 上班 同事 一起 想要 一箱 苹果 告诉 看见 身后 坏掉 一堆 苹果 时隔 几月 再次 来到 崩溃 放弃 边缘 失眠 严重 凌晨 没能 睡着 难过 每天 调整 心态 忙碌 觉得 嘻嘻 生活 睁一只眼 闭一只眼 对待 选择性 拥抱 太阳 推进 深渊 力气 挣扎 失眠 遇见 事情 狗血 剧情 刚好 发生 身上 失去 女孩 当初 相信 远离 身边 相信 重要 离开 离开 原因 一个男孩 世界 改变 时间 却输 一个男孩 身上 可笑 受伤 接受 伤害 接受 选择 离开 可笑 失去 理智 可当 想起 回忆 反省 伤害 心软 不想 失去 失去 希望 快乐 撕破脸皮 希望 以后 见面 问候 以后 生活 希望 照顾 离开 世界 女孩 舍不得 再见 平安 女孩 晚安 朋友 晚安 灵魂 剩下 一具 躯壳 加油
tb.1.5c17552e.Iv9AQtRsstJxJMuOwgt0ng,吃药 能加个 好友 吃药 倾诉 失眠 奥氮平 介绍 剂量 效果 吃药 几毫克 晚上
tb.1.5c415646.X6qfwAyyZ3W2PXytJJCpKA,别死 一起 苟活 世界 痛苦 安慰 不想
tb.1.5c43725e._UwVxKmhBae41ErbR-VIIg,对不起 活着 看见 天津 QQ 联系 过来 告诉 对不起 病友 同学
tb.1.5da9d684.k14GKRkAJ2SDtwMEUAPY7A,明白 心疼 回复 饮遍 天下 心酸
tb.1.5f3d8665.qslBNCaG2TpjFe2LJ03YFQ,工作 自杀 想到 父母 硬生生 过来 没什么 优点 能忍 结婚 面临 顺利 差点 不好 工作 顺利 扛下去 父母 注册 志愿者 容易 倒不如 活下去 父母 帮助 更有意义 走一遭 草草 结束 风景 没看 加油 支持 早日 走出 阴影 希望
tb.1.600a5594.E47AS8dv3uQdxEoab95o7A,壁纸 轻松 收入
tb.1.605d9238.9ZJQeTIXmTx5v0tezh0kHg,别想 不好 大有人在 男人 这辈子 好生 孩子 种族 天赋 后天 养成 努力 努力 想要 生活 改变 价值 价值 改变 别人 人生 影响 别人 人生 生活 社会 影响 别人 影响 坐车 对人 眼神 对方 留意 生活 改变 吸收 负面 能力 注意 觉得 一事无成 存在 一个个 打篮球 现实 画画 非要 跳舞 好看 不好 不好 有时候 成功 期望 告诉 随遇而安 没事 吐槽 觉得 吐糟 改变 字爽 不快 吐出来 努力 有时候 简单 别太 要求 达到 别人 告诉 你活 舒服 活给 别人 阳光 温暖 别人 靠近 别人 学习 需要 建议 开心 重要 感觉 无法 释怀 心里 想法 问题 郁闷 心烦 别人 别人 分析 明白 解决 慢慢 舒缓 心情 压抑 慢慢 清楚 问题 根源 需要 消息 加油
tb.1.60ab2f33.50qZp_haJZrHXisb-s05Bg,理解 心情 不敢 家人 报警 没用 想开 日子 更苦 记住 妄图 走捷径 痛苦 心态 没崩 想不通 别想
tb.1.60afe7d8.dfxQM3OMjF5HFSWyTP30cw,一起 离开 一起 离开
tb.1.60d17db0.o34newkrXrsxbDk0gRJh9w,从小 家暴 从小 贬低 他俩 当人 肆意 伤害 我家 那位 家暴 经历 反抗 暴力 想法 觉得 活下去 唯一 意义 以后 机会 报复 伤害 不想 承认 下辈子 投胎
