portrait,topic
tb.1.b510650f.wjeyVA_ObGbhmTajf_JOJg,"(0.1343228552383518, 0.2029556567767589, 0.27736400781146625, 0.18184852303930904, 0.14285866835623393, 0.06065028877788013)"
tb.1.b534e864.snS1QP8fx7_AY9A8e3q5oQ,"(0.18800209279944424, 0.3038451395129657, 0.20782510415882424, 0.18878829897850408, 0.09679541371604215, 0.014743950834219694)"
tb.1.b5a446de.LTRms5_gIW5lWIh84ddGDw,"(0.10061942075046951, 0.261758037975124, 0.3306689411466685, 0.0881640482440401, 0.011016983732156475, 0.2077725681515414)"
tb.1.b61f3a50.Rc9zWsBgGWwgiqKq3WrtBQ,"(0.005856352543677467, 0.19911105618570465, 0.014673886799017861, 0.7400025851734675, 0.024931405516459476, 0.01542471378167288)"
tb.1.b72c70ff.lVJfAu_jj2IPqUVsSFslvw,"(2.2087622589648138e-05, 2.2528604983956478e-05, 3.3134181768106353e-06, 0.007019471428110539, 0.0038480489659828985, 0.9890845499601562)"
tb.1.b8ee268e.naD4ytOBqQ33-XdTxKcWfw,"(0.3302760432485316, 0.012628060790635135, 0.08762691988235813, 0.3728286220928217, 0.09703236681084762, 0.09960798717480579)"
tb.1.b9fea6ff.i_sf3jKm2bLaIP2Okr4Bdw,"(0.04119519851495764, 0.3772290246723905, 0.07887965786781695, 0.43086878949972085, 7.383857689676004e-05, 0.07175349086821727)"
tb.1.ba573ec9.Owx7um4svGuDgX6WvQXNDA,"(2.8474128716405194e-06, 0.07503368122979932, 0.009787338385699777, 0.6841813878706277, 0.2308922848441174, 0.00010246025688420512)"
tb.1.bb08d3c1.FvuPXl7p89UOvPasmylyEg,"(9.041032591313667e-05, 0.00013060729119741078, 0.11375149316199185, 0.018903712120988278, 0.00012798708938074397, 0.8669957900105285)"
tb.1.bee0d4b5.lXmpfLGPH420AzVVFUz1dw,"(0.033004875658318056, 0.656363866154218, 0.14876941236686417, 0.1416391944752848, 0.012802011027801716, 0.00742064031751316)"
tb.1.befba1f6.ngMuHuC9f_Y7Z360jScDrw,"(0.5991847552161685, 0.049694264956798365, 0.14605269306728264, 0.09452203733860552, 0.07577319757854292, 0.03477305184260197)"
tb.1.bf32ff06.5nEaY63lGEV7GiPLqvQQDA,"(0.17689959025320134, 0.03078880840829122, 0.3394312148149968, 0.26691033797227, 0.059922355991431635, 0.1260476925598092)"
tb.1.c0b05039.D7DN3cJqkuPGaqQUAKg2iw,"(0.0672019626880534, 0.01069975038443095, 0.46550941078836516, 0.1292796973203499, 0.21057766890274995, 0.11673150991605051)"
tb.1.c143273c.fZgDC0cyS8jqoQv98FUFjg,"(0.15262330982859165, 0.11119760329345162, 0.1349279489794414, 0.45757071553329004, 0.0988408252316349, 0.04483959713359041)"
tb.1.c177729e.CoQFyAX_3DcaivW0uJNgSA,"(2.594111876008371e-08, 0.9577380233518984, 0.04222551276669904, 5.909511802266006e-06, 3.048748170303148e-05, 4.094677840894468e-08)"
tb.1.c1a6fad5.Nm6P8PbLQtTUuUeuXrXvJg,"(0.6446831318783024, 0.15018597870895511, 0.03198696967392745, 0.08972381413406609, 0.04413573064561869, 0.03928437495913031)"
tb.1.c1ec3834.W9MjyvngQG6KMTdTuU8vUw,"(0.2349664121689167, 0.1535312482608271, 0.2096222435702532, 0.1897569469858561, 0.17425457414697984, 0.03786857486716702)"
tb.1.c257bdc1.eFB_v0oEW6i15NF0wkFplQ,"(0.15716682095103895, 0.6734794131823856, 0.049028536094108545, 0.10051952243888865, 0.010207261901964996, 0.009598445431613305)"
tb.1.c2b1cba2.4vQZhaDpz4H_KUsmMo-8rg,"(0.00015775223273474824, 0.9985751216056783, 0.00010673911382963992, 0.00042427652265816925, 0.00027039014281002657, 0.0004657203822889807)"
tb.1.c2cfddbe.dJ2Qc3r6xnKkh3xBJ8LT4w,"(0.09200732197014565, 0.006628269810481082, 0.28115460959565275, 0.22244858707663123, 0.06593532537406921, 0.33182588617302)"
tb.1.c44cdab.rPdP7zhoe4RYjAClesaVAw,"(0.16570499900362934, 0.029714880590568888, 0.08814484371117096, 0.24856501730240532, 0.45468848667715694, 0.013181772715068572)"
tb.1.c4df456.JwqnH7lqF-sfmI2MQNVyQQ,"(0.0048060124021186154, 0.02628780557923093, 0.16416972930635346, 0.8047112648689246, 1.9286245571361143e-05, 5.901597800978247e-06)"
tb.1.c55aeacf.dLGM-yj29_A2xJ97FiqYzw,"(7.751273690562766e-09, 0.9999407618452592, 5.141027914544709e-05, 7.797995464093441e-06, 9.893853783401409e-09, 1.223500378414413e-08)"
tb.1.c668be41.k8D_cBKKyXEo4CE97cn_bA,"(0.024540733694181985, 0.009498619624664376, 5.697792017300796e-05, 0.9358695308915119, 0.029969912576329184, 6.422529313952307e-05)"
tb.1.c7c14444.ToNsGsslyzqz9ie1DBcMug,"(0.012697104689563024, 0.14716671371569148, 2.988451305574625e-05, 0.2664012682154645, 0.4485291915532802, 0.12517583731294513)"
tb.1.c8b11e1d.Yj1qhbxoFm_3hhS6lmXtww,"(0.13384307030006934, 0.572011272955867, 2.311624544744549e-05, 0.2940662235663034, 2.5315748296541465e-05, 3.100118401621009e-05)"
tb.1.c90c64bf.J_ybJp-Ab0epbdFvw3bsYg,"(0.00015753354797597683, 0.00011461037892986165, 0.9991289550812348, 0.00016498637887748187, 0.000433780439634533, 1.3417334728516567e-07)"
tb.1.c93dbf09.oxY8XH4v_n99AVkw7kexyA,"(1.2737981643817252e-05, 1.9066239366389253e-08, 4.6182116274649996e-05, 1.497670867670659e-08, 0.5553651890616881, 0.4445758567974453)"
tb.1.c962804.RfxLbS3gcfG1108X2uGlbw,"(7.729871292430808e-05, 6.475222555964974e-05, 0.9992700850982037, 0.0004685280927779203, 8.970120545235706e-05, 2.9634665081880155e-05)"
tb.1.c99deeee.hyHcswHoCjaIrFKzn4HxFw,"(0.025432592327655705, 0.01820176809179241, 0.3462509542255943, 0.0459059278984898, 0.5427511503985744, 0.021457607057893277)"
tb.1.cab2806d.nIxomlD8Md8qCvgXlcctSA,"(4.665665661035953e-06, 1.2258339248086622e-05, 0.005852269370695839, 0.1831159275987434, 0.8109816766746754, 3.320235097630802e-05)"
tb.1.cc75e984.ihEiby_zDI7DNp7kxMHu3g,"(5.423144762863539e-05, 0.9770200739931483, 1.777321991549819e-05, 5.322928327318886e-08, 0.02290777522541866, 9.288460564647705e-08)"
tb.1.ce4535df.08l-Jt5Pj97ueaqb6EFIDA,"(0.048610167871600975, 0.01122083549839258, 0.00028157217120967416, 1.6230320764996407e-08, 0.9398255627223142, 6.184550616163733e-05)"
tb.1.cee70bb0.ZnJPaJbo7X8Wvi_1hULmPw,"(0.013044443527125155, 0.016862933892821407, 0.018116156353269863, 0.5845144041061057, 0.016120490175303877, 0.351341571945374)"
tb.1.cef676b5.L7xqrFU0CvS5DIL-ZfODDw,"(0.04270733976526319, 0.08557811046926103, 0.29607886199830885, 0.3773550801293696, 0.046558179170687844, 0.15172242846710937)"
tb.1.cfb57f21.Ty3OI4DLH8p8hE18zLTYog,"(0.1157498560310666, 0.10212465924275271, 0.016886043954217094, 0.6948673868852097, 0.06674549862995165, 0.0036265552568022774)"
tb.1.cffd541.o4onjiTYrF5cHVQNuuIKbA,"(0.12551027803308032, 3.228346132617429e-05, 0.07546380927177536, 0.7191496308453236, 0.04125829409742651, 0.03858570429106809)"
tb.1.d045dfef.llyN72XBgC-yDBaoMOSwiQ,"(0.1119382222043808, 0.016773417823623973, 0.06034977170925829, 0.7743467818241099, 0.03650998011521357, 8.182632341355935e-05)"
tb.1.d204eb2b.NV-eb_iEAMw5mPgd2T4bxQ,"(0.1522662104377329, 0.13083817885433363, 0.10769122160963518, 0.37940891714017616, 0.045365291521079334, 0.1844301804370428)"
tb.1.d235b252.W-yAu6UcDDT9W5Ie3zJgOg,"(0.1511816473152013, 0.005107895425060539, 0.13511417390827032, 0.08547525220703946, 0.6177557163961571, 0.0053653147482711555)"
tb.1.d2844c97.glFdUO9U7oVuURR2VmQ6UA,"(0.07755604696692381, 0.10514523148448704, 0.1764294019791524, 0.45681860494173326, 0.14842545025106404, 0.035625264376639536)"
tb.1.d2bcc6d3.iGHgI593NXxKEuiGRftuoA,"(0.5636477424217453, 0.05353768298737538, 0.0563296056619803, 0.269115485332199, 0.05736411674652258, 5.3668501774632485e-06)"
tb.1.d4354fb3.vgsMgYFjfL6Yc2-app3TMg,"(0.06327376917029136, 0.35367319116885326, 0.32948135947960067, 0.09426415756167973, 0.11535654083908928, 0.04395098178048575)"
tb.1.d559d4e0.6vaDRLNpsEUyHNySENcyYg,"(0.39658432167743796, 0.33684769410349297, 2.5182679149520866e-05, 0.05317890929067329, 0.21335102094218356, 1.2871307062677201e-05)"
tb.1.d5cc5c4a.Da6yK2RiqjoesvMBv_wIQQ,"(0.9999991679231479, 1.5980019512689015e-07, 1.5058661240277319e-07, 1.2552454225007132e-07, 1.771263401804277e-07, 2.190391620720002e-07)"
tb.1.d667b7e4.5r5lIKSOMX8IQXqpRZk9-w,"(1.3077499963089046e-08, 0.0003244693099244966, 1.4191240426098503e-08, 0.9990305607814374, 0.00031373893476199126, 0.00033120370513567036)"
tb.1.d6698781.MNQWWfLmOUlWajrRL6IGLg,"(0.1438945749734256, 0.6223573380072607, 0.07211116290748133, 0.10054704943961842, 0.046027973174895126, 0.015061901497318756)"
tb.1.da9035b0.6VDEb6aLm6vn4BxgmpP0eQ,"(7.71539944187226e-05, 5.6334039101004355e-05, 0.0001602788032436261, 0.999018988354633, 7.158612323919789e-05, 0.0006156586853642767)"
tb.1.da984381.OaDnHK0Z3atT6kw40uBRGw,"(0.10149822168588006, 0.009591508201553514, 0.02562084757388554, 0.2231735737651695, 0.49182987526251404, 0.1482859735109974)"
tb.1.da9fba6.rvJJi3h5XmKQYxL0TCXrQg,"(1.0832446036063232e-08, 5.10594035904747e-05, 0.8971537363023556, 9.798609435346994e-09, 0.08743466189758313, 0.015360521765415225)"
tb.1.db05b29f.OeGlYeeFSrV_7v6boFxVeQ,"(0.02370035505665975, 0.4139808742101826, 0.07840923515554055, 0.15415361933425165, 0.30899383685431, 0.020762079389055346)"
tb.1.dc150987.3pdGyr5laVgpfLdjTqsIVg,"(0.05846214199406382, 0.04792354186925719, 0.13361545259221227, 0.41785876904793195, 0.2719601964721464, 0.07017989802438822)"
tb.1.dcb45d56.NSoWDS8egc_NdxeYjWyyYA,"(0.15430814026910133, 0.27979781945291293, 0.20336550675268653, 0.057822347706154305, 0.30456069749684217, 0.00014548832230268938)"
tb.1.dd7be6fe._ngXEfpAmqmdjUYmqvjo6w,"(0.005705031516811995, 0.025451279647592515, 0.020343234985246945, 0.02872403255337764, 0.013120475761358509, 0.9066559455356122)"
tb.1.de0efca7.Ko8l5njQVit-vo-sY59DJw,"(0.17761759959431433, 0.0568479011570239, 0.2845582526714567, 0.3513935684524885, 0.10601709378667819, 0.02356558433803833)"
tb.1.de17878f.xRBq5QS61LDCfVodTFfs3Q,"(0.054884299705122486, 0.2143200051737287, 0.09434378186255059, 0.3597979408816475, 0.14558889580200954, 0.13106507657494118)"
tb.1.de2cb2eb.wXbuWzhdu_JerrTJSVp87g,"(0.22602823882214068, 0.08792209290422112, 0.0882257510526925, 0.044594228714717125, 0.05221903819557227, 0.5010106503106564)"
tb.1.de5a6192.h6a3GUwlWhM7geIIe53sng,"(0.6250831206434824, 0.026998850811318965, 0.008998617295818613, 0.33158007075822077, 0.006217642441602549, 0.001121698049556686)"
tb.1.df961b3c.5AwWmHhyNdqOn3MLGl3hNg,"(0.3672796448410322, 3.474366345188265e-07, 0.017836942628095404, 0.15534635892617807, 0.17189640020068886, 0.287640305967371)"
tb.1.e06c1cf2.FCXcLGEaRbu2J-hQNe_Cuw,"(0.028682433212661854, 0.16519931220951964, 0.3221614180121388, 0.02199835972910029, 0.4616492735840899, 0.0003092032524894935)"
tb.1.e10a495f.9K4kHD0EGVI2XDu4JHbPoA,"(0.22394999643229593, 0.07879183620607755, 0.1471298298022767, 0.09046358160754095, 0.4596360845237475, 2.86714280614279e-05)"
tb.1.e28421bc.sWQbYEWwYmCxYBd6-xCWyg,"(0.3351763969296675, 0.03658087841205855, 0.1107530143547246, 0.17124590818672228, 0.2304028607344067, 0.11584094138242043)"
tb.1.e33947a6.aTOeWnUkE-5qQywemq8SvA,"(0.04734970837177786, 1.7211021204141542e-08, 1.6218687199136285e-08, 1.0941194213370444e-05, 3.064896876148626e-05, 0.9526086680355389)"
tb.1.e36f3e6f.In9alE9edag7mbWizHfR6g,"(0.002791209554209643, 0.03757997202591301, 0.016482979480934815, 0.871844001519849, 0.0699069536667648, 0.0013948837523287355)"
tb.1.e4d69428.0cGlHDk1Td9DD5-sLETF0w,"(0.11231961974928109, 0.2843751247366755, 0.2011553336166396, 0.1429735749476739, 0.12520580684444704, 0.1339705401052828)"
tb.1.e4fbf6ea.SZYgIjvb33KpuZKaxAY6eA,"(0.17822658109168532, 0.14570806032388067, 0.3292617699613421, 0.20889107097952783, 0.030552700729829345, 0.1073598169137347)"
tb.1.e51449f1.DaeKsBqfxzko2s9U1T8JmQ,"(3.9890541530481006e-05, 0.04651776317614531, 0.01877790455153672, 0.16067755569558295, 0.6371333116322868, 0.13685357440291762)"
tb.1.e52b38d4.E-CxE9LjpqjZ9dKffxaapA,"(0.05858483403022591, 1.84742304356848e-06, 1.1807283576719055e-05, 0.12450976258972975, 0.8168861229599829, 5.625713441103519e-06)"
tb.1.e57d19bb.SzMj8Z2CRblqpNsexC2vcQ,"(4.717661863282088e-05, 0.046263410889969235, 0.005914832939576681, 0.025809646151733655, 0.9219028683536872, 6.206504640048421e-05)"
tb.1.e5d2ef73.nNlTU_GmyYm0UwD3NXCplw,"(1.725899387408871e-05, 0.027796851623157596, 0.2326164976096893, 0.5173133022796657, 0.2222456550964975, 1.0434397115779424e-05)"
tb.1.e66e98a4.3VY0n1FWk0kRM-3tsyGuhQ,"(0.09968890464355212, 0.011933033764686593, 0.24052367166672997, 0.052651971672898666, 0.024151517235204267, 0.5710509010169285)"
tb.1.e70eb651.SOUaLVJIsSLnJc_g1lo4jg,"(0.8851369811058809, 2.3873924051080557e-06, 0.06129319260750311, 0.018117204809728508, 0.035450188741614964, 4.5342867380203654e-08)"
tb.1.e7d66827.Ob-S--FJ4PONu6OqXJOSOg,"(0.12864998938060282, 0.028715211570787144, 0.033834265403505745, 0.3289080820216247, 0.10214559207099178, 0.3777468595524879)"
tb.1.e7dd1dc1.Le8dqQBT3EmOz754EnWlkw,"(5.2982952066819474e-05, 6.023672765051695e-06, 0.030408994758426955, 0.9435617780339658, 4.509784844784035e-05, 0.025925122734327472)"
tb.1.e804cd5.bww0BuoYWX1Y3aZBeSJoig,"(9.359053607906808e-05, 0.00013719716886539856, 0.00012186028850464777, 0.0001139601799844173, 0.9994850459422622, 4.834588430421903e-05)"
tb.1.e8d4c435.AaCDNHw28X1Am8OLOb8MOQ,"(0.06692901727632787, 0.014924740571497565, 0.5417178059774233, 0.37466632232084657, 3.031716014762691e-05, 0.0017317966937569938)"
tb.1.e8e5340d.m8DHRgGCiBg3bORytVo63g,"(0.18776920325992905, 0.04002837197882783, 0.3213095453047692, 0.23792033929765977, 0.11198711028942294, 0.10098542986939119)"
tb.1.e9b1be6b.owTpithgI6SFqUELz_xAdQ,"(0.24648747897778683, 0.12158566591519424, 0.18661306853433887, 0.17136376294545047, 0.19700106802374395, 0.07694895560348569)"
tb.1.ea434e8a.xm1C-DW7WTmIGd8tNrPg4Q,"(0.12308963003274309, 0.46235879820159126, 0.022723174194680434, 0.04138731667286403, 0.20686309392186, 0.14357798697626117)"
tb.1.ebd2bc2a.Cyl5kiPVV2L0cxyRk0sb-g,"(0.0695853217037267, 0.15768697906284201, 4.1419804641279026e-05, 0.5840551629454884, 0.04656993351191673, 0.1420611829713849)"
tb.1.ec03795d.f55-Rv46J0yxkOw903kUeg,"(0.09537080274049682, 0.04993974667017727, 0.1053290223557724, 0.3960743403483237, 0.32865075974270963, 0.024635328142520115)"
tb.1.ec685782.tN9t8QHcBofoI5ahAszHkQ,"(3.943641694512945e-05, 1.2358501109793564e-05, 3.669974283547927e-05, 0.9559303709017206, 0.022991824552895272, 0.020989309884493792)"
tb.1.ec7eacd1.PZV0POM3pvMW-nLvJWpFig,"(0.05400240446422272, 0.05496117475004307, 0.08578087422994157, 0.579915900272352, 0.21168265135575817, 0.013656994927682424)"
tb.1.ed5b6570.SWstENQOMUE-rkOcqkxwzQ,"(0.07506652090691081, 0.23191424037567898, 0.3960542198223312, 0.11646700038393411, 0.1098649716154892, 0.07063304689565571)"
tb.1.edd5ec99.xaU7tKTQngnk2-mWIk3c1Q,"(0.011807245776304043, 0.13400515977503613, 0.029335024202230834, 0.053071920211338185, 0.5131115089636193, 0.2586691410714714)"
tb.1.ee15c12b.TE0SKZpV6r75o9Rs0s0hSQ,"(0.5658661440805459, 0.10386074343030928, 0.036080594086486714, 0.264117018691728, 0.0070242448100105645, 0.023051254900919537)"
tb.1.ef4a128b.q_8nuwexBSu3hnhPS4xgfw,"(0.16773368928135013, 0.11878788454683394, 0.26387900093219424, 0.22973953738507966, 0.14336760532118753, 0.07649228253335452)"
tb.1.ef7fbe3.1EwfeIyT2Jy1_IZTOrzpPQ,"(0.27503115695754005, 0.036465402671176275, 0.39225191737787857, 0.08927880655473855, 0.023753614509029134, 0.1832191019296373)"
tb.1.ef8b76f3.e94HPoDc3gOByu-ofBte2g,"(1.9566489786979804e-07, 2.253198703782523e-07, 2.123286267601273e-07, 1.769908576558191e-07, 0.9999988808483421, 3.0884740514011505e-07)"
tb.1.efbf623e.BmuSo2ndM9ohR_D8CBO6xA,"(0.5125282311713578, 1.561992552075184e-05, 0.025291935336347632, 0.20210825153150785, 0.13392966308354998, 0.12612629895171606)"
tb.1.f072c039.gBSorBxdgO6l35A2ao3q9Q,"(0.15680010792931406, 0.15870686087200525, 0.19099578755341157, 0.21949085843261104, 0.16294966062673755, 0.11105672458592034)"
tb.1.f1f0f122.MItl3Ld65Yvnmyl5QAecRg,"(0.6533105886419838, 0.17457697436008018, 0.049622059647681196, 0.0722575855033677, 0.04869868935987936, 0.0015341024870077584)"
tb.1.f1f48af8.ealeDflFaLBfTHicUaWw-A,"(0.9992666404890163, 5.640457036613313e-05, 6.69296647148577e-05, 0.000162681607157163, 0.00010187597695427487, 0.00034546769179134076)"
tb.1.f37af2d7.pSG9a_slRqSk3XbEHl-3cw,"(0.03674429241550408, 0.016684204946448036, 0.9258732960377531, 3.0162379214628578e-05, 0.00013380574566165904, 0.020534238475418444)"
tb.1.f3ccc394.W35Um23RsmuBC3GKxYC5AA,"(0.14476208449029934, 0.006007299984340434, 0.04845252291079633, 0.6498309156718901, 0.07078236309418798, 0.08016481384848564)"
tb.1.f3eba9dc.mhqNtuBTqGeznRcm5yGD4Q,"(0.15699423140257998, 0.11462921154204084, 0.1906700498203596, 0.21682803918943513, 0.12069496487059972, 0.20018350317498473)"
tb.1.f442a1e8.BKrcNsydg9ZP3dYAqRYCEA,"(0.04922730807196202, 0.016408910965632822, 0.008877228967659188, 0.09333846123525599, 0.03901602079416327, 0.793132069965327)"
tb.1.f6582cac.3M5ZMOo_k5JqOqqsB76KXg,"(0.028402987494374417, 4.250038339836827e-05, 0.7329744386923572, 0.0973621164963795, 0.14117600541102032, 4.195152247011802e-05)"
tb.1.f6dfcf80.SEOblGQt7JnhoLtd08p6pQ,"(0.045793122886493544, 0.09242569377299832, 0.04240348667306071, 0.2861391445769033, 0.4922392779625122, 0.04099927412803193)"
tb.1.f758e5c4.Lp1QmyXZFXt_UOZdFeztlg,"(0.03723856314570403, 0.04960470710597521, 0.015186667744346287, 0.01806698046219181, 0.8084690970860243, 0.07143398445575833)"
tb.1.f78c13a5.95UZJV2xq_3US1P4uHbdUQ,"(0.058293526879010155, 0.0730977043853378, 0.37838303214595964, 0.2697656198473861, 0.11732382408458764, 0.10313629265771865)"
tb.1.f80f89c0.2CvB6sadB6H3CXcyxtxkuA,"(0.13185733869398414, 0.23548498521980754, 0.1396935632031694, 0.3967084377969239, 0.08068545140282748, 0.015570223683287645)"
tb.1.f818cf74.Olk3dOf8S447cIDPWhfTpA,"(0.051709687961658986, 0.046920662385125066, 0.2769057861570616, 0.3064390694439115, 0.29941007207773357, 0.018614721974509335)"
tb.1.f91cc198.cr7CA6idS9Mudz-rkdtQvg,"(0.4215648093388477, 0.013874058775331426, 0.0010222565574718198, 0.5337881134656632, 0.029712832152791066, 3.7929709894621564e-05)"
tb.1.f96b300b.YM3ABK6pkQ5RUF23dqSEhw,"(5.448180919545691e-08, 6.273907236065293e-08, 0.9992088456675559, 4.928212592613949e-08, 0.0007909018325841586, 8.599685268306369e-08)"
tb.1.fbeeebf1.DxwY6Gg7PH3lfhA3cfiD1g,"(0.3185820344755194, 0.009857310250551247, 0.0020049049747595553, 0.007882795698860651, 0.019776208255957283, 0.6418967463443513)"
tb.1.fc650e01.63xoLLLZCkFyK1RPWw3zHA,"(0.21635666099842502, 0.05085091358249784, 0.026796232167008275, 0.1337826409234311, 0.5402397934423226, 0.031973758886315096)"
tb.1.fc8d0f0f.EjsXyoHuEC3Ma5XTjayYsQ,"(0.07029440370885513, 0.6623245511304878, 0.06047610212365278, 0.1309048014306913, 0.015725049792039286, 0.06027509181427357)"
tb.1.fcb087d5.mDw7F53ngafQN3ZzmHTaQA,"(6.810257371308982e-05, 0.8054416793709127, 0.13141297047077352, 0.06291113291888496, 6.713246030177115e-05, 9.898220541371431e-05)"
tb.1.fcf80a06.rs2YE2LzrQx0sslxfqR4qQ,"(3.798196180127299e-07, 0.0046079790264285155, 0.017335915240944893, 0.9780533681598296, 1.6918842747169988e-06, 6.658689043011624e-07)"
tb.1.fd531050.7qp8rgV4O-yytWMh3sxk7w,"(0.03304475689537062, 0.05180463535761763, 0.025728483785816884, 0.637364495142086, 0.09613254508875703, 0.1559250837303518)"
tb.1.fd57872f.2F15C8nxEz6cpEZyti0BpQ,"(0.11109678064056806, 6.694446025571985e-08, 0.777638374739063, 2.806260046001697e-05, 7.420283330088645e-08, 0.11123664087261521)"
tb.1.fdec6c90.lmNJBrhZ066EtfU36r13JQ,"(0.4365559595981527, 7.2302644574532e-05, 0.47594815465082874, 0.00014395950652096857, 0.08718051789688792, 9.91057030350908e-05)"
tb.1.fe245957.c7G3WyUSzkMYWSfVmxQOhA,"(0.443766420076313, 0.001745121271514874, 3.446432447991021e-05, 0.5494888778190692, 1.1589066711964946e-05, 0.0049535274419109125)"
tb.1.ffcd11f9.oRlKdVEnZmmIanF8Q2FdMw,"(1.4389075674715643e-05, 0.008172358795918653, 0.8236101473926718, 0.02751030027029308, 0.016899837701320756, 0.12379296676412102)"
tb.1.ffdf32d.vmeiZjI1Dztut-LgVubkLQ,"(0.18956516194955647, 0.13896710679334043, 0.19521691429966823, 0.12407962778454318, 0.21670619903685323, 0.13546499013603863)"
